age,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
< 1,166592,166229,165679,165020,164417,163868,163366,162919,162511,162142,161825
 1  -  4,"659,936","661,738","662,329","661,711","660,225","658,286","656,101","653,956","652,006","650,242","648,654"
 5  -  9,"799,393","805,607","811,352","816,503","820,708","823,662","825,270","825,425","824,252","822,251","819,824"
 10 - 14,"759,419","767,937","776,061","783,725","790,883","797,560","803,791","809,561","814,748","818,993","821,990"
 15 - 19,"708,354","718,139","727,743","737,082","746,133","754,881","763,288","771,299","778,853","785,926","792,554"
 20 - 24,"656,390","664,821","673,635","682,849","692,359","701,972","711,538","720,924","730,047","738,894","747,429"
 25 - 29,"612,107","620,243","628,162","635,987","643,855","651,894","660,237","668,968","678,067","687,443","696,924"
 30 - 34,"562,150","573,207","583,546","593,148","602,107","610,580","618,713","626,616","634,428","642,281","650,318"
 35 - 39,501112,513403,"525,760","538,054","550,125","561,778","572,831","583,178","592,800","601,780","610,269"
 40 - 44,442537,453442,464654,476215,488087,500202,512473,"524,790","537,058","549,109","560,752"
 45 - 49,386889,397764,408484,419090,429656,440291,451147,462333,473856,485689,497756
 50 - 54,326634,338174,349623,360935,372082,383063,393873,404520,415052,425548,436131
 55 - 59,266079,276578,287405,298503,309801,321207,332617,343957,355158,366201,377087
 60 - 64,212730,221047,229794,238973,248574,258558,268886,279538,290464,301589,312829
 65 - 69,167391,173755,180436,187448,194797,202521,210639,219173,228130,237503,247250
 70 - 74,127664,132197,137065,142255,147746,153531,159631,166038,172752,179789,187189
 75 - 79,92517,95057,97956,101191,104756,108657,112874,117392,122199,127263,132595
>= 80,120459,119417,119377,120125,121603,123723,126485,129833,133766,138276,143330